"Recorded Crime Offences (Number) by Type of Offence and Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"111 ,Explosives, chemical weapons offences",52,65,105,161,26,50,46,41,78,90,59,48
"1121 ,Discharging a firearm",211,291,311,298,326,224,226,177,163,144,161,134
"1122 ,Possession of a firearm",373,374,434,424,424,457,421,415,294,249,196,197
"113 ,Offensive weapons offences (n.e.c.)",1284,1423,1708,2201,2577,2979,2983,3040,2628,2302,2188,1984
"114 ,Fireworks offences",0,0,0,35,242,306,388,426,320,253,146,113
"12 ,Damage to property and to the environment",34030,37047,39728,43582,43284,44626,42330,39369,35573,32428,28913,27396
"1211 ,Arson",1418,1505,1413,1641,1998,2155,3024,2588,2325,2155,1948,1722
"1212 ,Criminal damage (not arson)",32525,35436,38187,41806,41086,42193,39095,36563,33035,29991,26750,25427
"1221 ,Litter offences",87,106,128,135,200,278,211,218,213,282,215,247
"13 ,Public order and other social code offences",45160,47788,55479,56615,60583,61820,57351,54941,49060,43861,36453,32644
"131 ,Disorderly conduct",37667,38230,42430,47235,51197,53419,49469,47346,42137,37359,30854,26819
"132 ,Trespass offences",1438,1565,1842,2355,3002,3675,3793,3786,3580,3335,2951,2824
"133 ,Liquor licensing offences",4363,6687,9684,5708,5036,3844,3285,2826,2341,1918,1374,1274
"134 ,Prostitution offences",189,219,84,107,109,136,93,205,228,148,120,129
"135 ,Regulated betting/money, collection/trading offences",304,317,373,417,538,415,452,429,299,294,326,290
"136 ,Social code offences (n.e.c.)",1199,770,1066,793,701,331,259,349,475,807,828,1308
"15 ,Offences against government, justice procedures and organisation of crime",6835,6453,7792,9482,10997,13255,11898,11397,10173,9445,9188,9696
"151 ,Offences against government and its agents",199,165,150,238,402,395,571,365,446,284,278,320
"152 ,Organisation of crime and conspiracy to commit crime",11,16,5,19,10,12,5,18,22,6,4,5
"153 ,Perverting the course of justice",248,259,224,249,193,170,151,95,86,101,63,50
"157 ,Offences while in custody, breach of court orders",6377,6013,7413,8976,10392,12678,11171,10919,9619,9054,8843,9321

